key,registration-moment,email,description,type,indicator,key:assistance-agent,key:leg,draft-mode
claim-16,2017/05/12 14:30,john.doe@example.com,"Delayed flight; compensation requested",FLIGHT_ISSUES,ACCEPTED,agent-02,leg-01,false
claim-17,2016/07/19 09:45,jane.smith@example.com,"Luggage lost during transfer",LUGGAGE_ISSUES,IN_PROGRESS,agent-02,leg-02,true
claim-18,2015/11/05 16:00,mike.brown@example.com,"Seat was broken; not functional",SECURITY_INCIDENT,ACCEPTED,agent-02,leg-02,false
claim-19,2014/09/23 08:00,lucy.green@example.com,"Flight cancellation without notice",OTHER_ISSUES,ACCEPTED,agent-02,leg-01,false
claim-20,2013/01/13 12:15,robert.white@example.com,"Incorrect baggage charge",SECURITY_INCIDENT,ACCEPTED,agent-02,leg-02,false
claim-21,2012/07/02 00:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FLIGHT_ISSUES,IN_PROGRESS,agent-02,leg-01,true
claim-22,2012/07/02 00:00,a@b.e,"L",LUGGAGE_ISSUES,IN_PROGRESS,agent-02,leg-02,true
claim-23,2000/01/01 00:00,a@b.es,"Lo",SECURITY_INCIDENT,IN_PROGRESS,agent-02,leg-02,true
claim-24,2000/01/01 00:00,a@b.esx,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",OTHER_ISSUES,IN_PROGRESS,agent-02,leg-01,true
claim-25,2000/01/01 00:01,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",SECURITY_INCIDENT,IN_PROGRESS,agent-02,leg-02,true
claim-26,2000/01/01 00:01,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,"โลเร็ม อิปซัม",OTHER_ISSUES,IN_PROGRESS,agent-02,leg-02,true
claim-27,2024/12/31 23:59,john.doe@example.com,"لوريم إيبسوم",FLIGHT_ISSUES,IN_PROGRESS,agent-02,leg-01,true
claim-28,2024/12/31 23:59,jane.smith@example.com,"洛伦·伊普森",LUGGAGE_ISSUES,IN_PROGRESS,agent-02,leg-02,true
claim-29,2025/01/01 00:00,mike.brown@example.com,"<marquee>Hacked</marquee>",SECURITY_INCIDENT,IN_PROGRESS,agent-02,leg-02,true
claim-30,2025/01/01 00:00,lucy.green@example.com,"<script>alert(‘Hacked!’);</script>",OTHER_ISSUES,IN_PROGRESS,agent-02,leg-01,true
claim-31,2014/09/23 08:00,lucy.green@example.com,"' or 'A' = 'A ",OTHER_ISSUES,IN_PROGRESS,agent-02,leg-01,true
